3327 16
0 0 0.4839381
0 1 0.84803796
0 2 -0.0976727
0 3 1.2981483
0 4 0.89460015
0 5 0.11610758
0 6 1.1929154
0 7 0.12004882
0 8 0.88114274
0 9 0.11357038
0 10 1.053547
0 11 -0.10253547
0 12 0.920019
0 13 1.0380379
0 14 1.3976282
0 15 0.14346933
1 0 0.91536605
1 1 0.8138276
1 2 -0.043792464
1 3 1.3033091
1 4 0.04354228
1 5 1.010696
1 6 0.14039099
1 7 0.06899729
1 8 1.0351197
1 9 0.011954531
1 10 1.0302658
1 11 -0.057892814
1 12 -0.022408783
1 13 0.12910034
1 14 1.4061474
1 15 1.1576941
2 0 1.1178427
2 1 0.63881624
2 2 -0.09365817
2 3 1.7509933
2 4 0.91539323
2 5 0.40033442
2 6 1.5929375
2 7 1.1275718
2 8 1.1584282
2 9 0.7770426
2 10 4.351139e-06
2 11 -0.11196871
2 12 0.21341068
2 13 0.049358577
2 14 0.6473657
2 15 0.69668233
3 0 1.239208
3 1 0.69993347
3 2 -0.09555432
3 3 1.4366586
3 4 0.784037
3 5 0.47428322
3 6 1.5946615
3 7 1.091941
3 8 0.9630513
3 9 0.7082058
3 10 0.13782886
3 11 -0.1110687
3 12 0.10018942
3 13 -0.04444647
3 14 0.64402175
3 15 0.7945715
4 0 0.604277
4 1 0.76552564
4 2 -0.10898561
4 3 1.6464517
4 4 0.8903161
4 5 7.882714e-05
4 6 1.3342772
4 7 0.17212443
4 8 0.88854945
4 9 0.009570062
4 10 0.8148551
4 11 -0.07535523
4 12 0.9162803
4 13 0.84377456
4 14 1.5235913
4 15 0.09574574
5 0 1.0057595
5 1 0.8538178
5 2 -0.044965386
5 3 1.1803135
5 4 0.0031193495
5 5 0.88238657
5 6 0.33785963
5 7 0.09146249
5 8 0.8488668
5 9 0.0004016161
5 10 0.99072504
5 11 -0.0728587
5 12 0.06482628
5 13 0.05557552
5 14 1.5165684
5 15 1.0065075
6 0 0.77924377
6 1 0.8698171
6 2 -0.0585308
6 3 0.96442246
6 4 0.86001754
6 5 0.09773207
6 6 1.3398311
6 7 0.26544183
6 8 0.8982532
6 9 0.11319448
6 10 1.0099293
6 11 -0.08478563
6 12 0.96560436
6 13 0.891443
6 14 1.4359628
6 15 0.11775458
7 0 0.11658883
7 1 0.78165823
7 2 -0.06180966
7 3 2.0445476
7 4 0.6972721
7 5 0.86945677
7 6 0.39568612
7 7 0.12145987
7 8 0.9532035
7 9 0.7638339
7 10 0.4244956
7 11 -0.06953203
7 12 0.23061468
7 13 0.95025265
7 14 0.77850056
7 15 1.0912348
8 0 0.513385
8 1 0.7429435
8 2 -0.08074515
8 3 1.3638757
8 4 0.85127544
8 5 1.0430813e-06
8 6 1.4731966
8 7 0.062373906
8 8 0.8574989
8 9 0.00063970685
8 10 0.8344525
8 11 -0.086334236
8 12 0.8911153
8 13 0.8037878
8 14 1.4783804
8 15 0.04079801
9 0 1.1477228
9 1 0.82443106
9 2 -0.07113452
9 3 1.3941505
9 4 0.8453971
9 5 0.6603286
9 6 1.4074783
9 7 1.1441922
9 8 0.8967472
9 9 0.81431234
9 10 0.075437754
9 11 -0.102689356
9 12 0.0035908222
9 13 0.023691714
9 14 0.67245466
9 15 1.0835674
10 0 0.95105743
10 1 -1.7434359e-05
10 2 -0.052981105
10 3 1.108422
10 4 0.11007923
10 5 0.82392585
10 6 0.50328386
10 7 0.85304165
10 8 1.7293072
