2708 16
0 0 0.9913813
0 1 0.27145106
0 2 1.0771016
0 3 0.9071286
0 4 -0.07604255
0 5 0.94654375
0 6 0.9100497
0 7 1.118937
0 8 1.2613871
0 9 0.7298454
0 10 0.85024405
0 11 0.78297335
0 12 0.33547992
0 13 0.82753384
0 14 0.6805165
0 15 0.2862482
1 0 0.9254035
1 1 1.5154152
1 2 1.1354725
1 3 0.85064256
1 4 -0.095590785
1 5 1.3347031
1 6 0.9055172
1 7 0.026696026
1 8 0.31043032
1 9 1.1987045
1 10 0.66413236
1 11 0.6971765
1 12 1.2514043
1 13 0.37828985
1 14 0.50143474
1 15 1.2146355
2 0 0.95904064
2 1 1.3003007
2 2 1.0135072
2 3 1.0835731
2 4 -0.09331595
2 5 1.30597
2 6 0.9130013
2 7 0.34658182
2 8 0.61589384
2 9 1.0313684
2 10 0.6487657
2 11 0.59509015
2 12 0.9476533
2 13 0.30130664
2 14 0.2779169
2 15 0.89945424
3 0 0.20375684
3 1 1.3877618
3 2 0.8399664
3 3 0.54010135
3 4 -0.069223836
3 5 0.28407213
3 6 1.0409162
3 7 0.45332807
3 8 0.51934487
3 9 0.8395411
3 10 0.7295072
3 11 1.6163862
3 12 0.68928546
3 13 0.65574044
3 14 1.328635
3 15 0.8375515
4 0 1.0376079
4 1 0.4981702
4 2 1.0102005
4 3 0.94491285
4 4 -0.0724227
4 5 0.74812347
4 6 0.7904248
4 7 1.2343452
4 8 1.2626581
4 9 0.9094658
4 10 1.2088027
4 11 0.773245
4 12 0.34137148
4 13 0.7865255
4 14 0.3996125
4 15 0.3356485
5 0 0.32868004
5 1 1.334574
5 2 0.36906105
5 3 0.32760504
5 4 -0.06007181
5 5 1.0781326
5 6 0.1248956
5 7 1.1751153
5 8 1.2568896
5 9 1.2127787
5 10 1.6118976
5 11 0.6891966
5 12 0.2578868
5 13 0.19498324
5 14 0.3776127
5 15 0.28336275
6 0 0.21091697
6 1 1.1099038
6 2 0.85020506
6 3 0.36588645
6 4 -0.06807312
6 5 0.46991184
6 6 0.97424364
6 7 0.7167058
6 8 0.55117375
6 9 1.0359828
6 10 0.75608087
6 11 1.4050972
6 12 0.76136816
6 13 0.60635126
6 14 1.0623909
6 15 0.84937525
7 0 1.0909114
7 1 0.12929147
7 2 1.0656964
7 3 1.2282634
7 4 -0.095265806
7 5 1.0469015
7 6 1.0003337
7 7 1.2918847
7 8 1.1864426
7 9 1.1017421
7 10 0.64208734
7 11 0.8970885
7 12 0.28440094
7 13 1.0511929
7 14 0.33487394
7 15 0.29556832
8 0 1.0070654
8 1 0.4430043
8 2 1.0575607
8 3 0.9066204
8 4 -0.07146777
8 5 1.0751977
8 6 0.8868274
8 7 1.1217597
8 8 1.4246595
8 9 1.0567572
8 10 0.9120079
8 11 0.666196
8 12 0.22204322
8 13 0.8612985
8 14 0.33880776
8 15 0.2375826
9 0 0.524573
9 1 1.2536355
9 2 0.35336646
9 3 0.16497946
9 4 -0.07393329
9 5 1.0003033
9 6 0.0041228235
9 7 0.8400173
9 8 0.96618855
9 9 1.1075442
9 10 1.8222933
9 11 0.57023096
9 12 0.26570195
9 13 0.051686615
9 14 0.3264827
9 15 0.3124435
10 0 0.12091014
10 1 1.0145534
10 2 0.8694632
10 3 0.61772954
10 4 -0.088206366
10 5 0.42616224
10 6 1.1209906
10 7 0.9470102
10 8 0.7768592
10 9 0.8471184
10 10 0.65156555
10 11 1.7531991
10 12 0.83415806
10 13 0.7162671
10 14 1.4052234
10 15 0.8387768
11 0 0.2690311
11 1 1.1302598
11 2 0.8104526
11 3 0.3134771
11 4 -0.08018189
11 5 0.34149468
11 6 1.2249668
11 7 0.72851855
11 8 0.6887155
11 9 0.9639052
11 10 0.8361918
11 11 1.466471
11 12 0.6584163
11 13 0.8524448
11 14 1.2364855
11 15 0.71898794
12 0 1.4620111
12 1 1.4124227
12 2 1.10383
12 3 1.5379201
12 4 -0.13097793
12 5 1.6040695
12 6 0.9178219
12 7 -0.1412586
12 8 0.13567072
12 9 1.0003641
12 10 0.44263315
12 11 -0.100388646
12 12 1.2245649
12 13 -0.26005313
12 14 -0.1477229
12 15 1.1502793
13 0 0.8930634
13 1 0.36150402
13 2 1.100987
13 3 0.9985316
13 4 -0.07783812
13 5 0.8376271
13 6 0.95743346
13 7 1.0092797
13 8 1.2178084
13 9 0.93777496
13 10 0.69803953
13 11 0.77400744
13 12 0.28358868
13 13 0.8703227
13 14 0.42012697
13 15 0.292767
14 0 1.1207336
