3327 16
0 0 0.048677206
0 1 0.12996736
0 2 -5.2154064e-06
0 3 2.5617888
0 4 0.13037014
0 5 0.0102571845
0 6 0.017718613
0 7 0.8249209
0 8 1.5401533
0 9 0.09301251
0 10 0.7559977
0 11 -0.074837446
0 12 0.93685406
0 13 0.10720208
0 14 0.38372266
0 15 1.0380806
1 0 0.9578247
1 1 0.26268885
1 2 0.04506758
1 3 1.5242567
1 4 0.21296018
1 5 0.06412542
1 6 0.9379221
1 7 0.14580703
1 8 1.4745336
1 9 0.94087625
1 10 0.16282752
1 11 -0.0477031
1 12 1.955028
1 13 0.92665225
1 14 1.0731528
1 15 0.37978312
2 0 0.22901511
2 1 0.9754864
2 2 1.0616271
2 3 1.3620785
2 4 0.34041828
2 5 1.0041468
2 6 0.9082836
2 7 1.088944
2 8 1.5396063
2 9 0.040665597
2 10 0.9852412
2 11 -0.10122433
2 12 1.1195006
2 13 0.5351473
2 14 0.84269255
2 15 1.4049878
3 0 0.21110392
3 1 0.8875121
3 2 0.8794513
3 3 1.3428183
3 4 0.16702431
3 5 0.933997
3 6 0.93376225
3 7 1.0890186
3 8 1.5780485
3 9 0.03471735
3 10 0.987895
3 11 -0.082403585
3 12 1.0380054
3 13 0.9183802
3 14 1.1025419
3 15 1.311559
4 0 0.3853889
4 1 0.06110382
4 2 -2.0563602e-06
4 3 2.454858
4 4 0.16961929
4 5 5.7309866e-05
4 6 0.20073995
4 7 1.2135844
4 8 1.5575728
4 9 0.049725145
4 10 1.1518219
4 11 -0.11344154
4 12 1.2079122
4 13 0.07221094
4 14 0.26586488
4 15 1.1472696
5 0 0.84293306
5 1 0.20808072
5 2 -7.659197e-06
5 3 1.7011591
5 4 0.002827704
5 5 4.9054623e-05
5 6 0.9638028
5 7 0.23645312
5 8 1.5796254
5 9 0.7841037
5 10 0.22844939
5 11 -0.052267417
5 12 1.8396658
5 13 0.8663652
5 14 1.1130621
5 15 0.44336975
6 0 0.04207039
6 1 0.11310506
6 2 -1.5199184e-06
6 3 2.5213392
6 4 0.11145377
6 5 8.508563e-05
6 6 0.052372724
6 7 0.8199245
6 8 1.622132
6 9 0.03283575
6 10 0.7611757
6 11 -0.064925924
6 12 1.0160866
6 13 0.14485472
6 14 0.563395
6 15 0.9753932
7 0 0.7873094
7 1 0.3632524
7 2 0.44608408
7 3 1.5380325
7 4 1.0429307
7 5 0.2867813
7 6 0.12317699
7 7 0.25944966
7 8 1.4460658
7 9 0.74542624
7 10 0.15874672
7 11 -0.07079294
7 12 1.7731175
7 13 0.0856798
7 14 0.3309982
7 15 1.2340865
8 0 0.26797032
8 1 1.6778708e-05
8 2 -1.9431114e-05
8 3 2.3084443
8 4 0.15801054
8 5 6.0886145e-05
8 6 0.2104319
8 7 1.1274362
8 8 1.5783355
8 9 -1.4305115e-06
8 10 1.0837713
8 11 -0.09575318
8 12 0.9663292
8 13 5.185604e-06
8 14 0.20059264
8 15 0.93830913
9 0 0.27263096
9 1 1.0280803
9 2 0.8319544
9 3 1.1540852
9 4 0.29006362
9 5 0.82081556
9 6 0.8914875
9 7 0.89010155
9 8 1.6471999
9 9 4.529953e-06
9 10 0.87342966
9 11 -0.097256005
9 12 1.4036924
9 13 0.7951305
9 14 1.0462729
9 15 1.3754377
10 0 0.10671073
10 1 0.9133729
10 2 0.7377379
10 3 2.2130592
10 4 0.8478431
10 5 0.77123284
10 6 0.15579778
10 7 0.20175141
10 8 0.6808485
10 9 0.7605871
10 10 0.15823969
10 11 -0.06511211
10 12 0.9411299
10 13 0.7903271
10 14 1.0870998
10 15 0.48952335
11 0 1.2007732
11 1 0.06735712
11 2 0.8580637
11 3 1.9878637
11 4 0.9528167
11 5 0.8641001
11 6 0.8972242
11 7 1.1414015
11 8 0.7064779
11 9 0.79197717
11 10 1.0847814
11 11 -0.10750657
11 12 1.2063609
11 13 0.44746232
11 14 0.23336047
11 15 0.7093587
12 0 0.366822
12 1 0.9336952
12 2 0.83428204
12 3 1.8320223
12 4 1.2890048
12 5 0.43880922
12 6 -0.04323429
12 7 -0.0025436878
12 8 1.1609544
12 9 1.0575488
12 10 -0.033098787
12 11 -0.056883574
12 12 1.588321
12 13 0.16216843
12 14 0.52881396
12 15 1.2251575
13 0 0.8814205
13 1 0.13672489
13 2 0.017953396
13 3 1.7706848
13 4 0.1339845
13 5 0.068891615
13 6 0.8182032
13 7 0.32658657
13 8 1.603365
13 9 0.8298223
13 10 0.32382232
13 11 -0.051838264
13 12 1.7537699
13 13 0.7961941
13 14 0.93489015
13 15 0.4973297
14 0 0.12471497
14 1 0.89699876
14 2 0.7044654
14 3 2.2453587
14 4 0.8279772
14 5 0.6716542
14 6 0.045390606
14 7 0.14397547
14 8 0.74377584
14 9 0.8163676
14 10 0.11335352
14 11 -0.065026276
14 12 1.1169426
14 13 0.677938
14 14 1.036709
14 15 0.5532164
15 0 0.12885112
15 1 0.14900595
15 2 2.7149916e-05
15 3 2.3795485
15 4 0.14099747
15 5 5.9902668e-05
15 6 0.074977845
15 7 0.9574175
15 8 1.5592293
15 9 0.08356893
15 10 0.8481597
15 11 -0.07195055
15 12 0.9531333
15 13 0.049387276
15 14 0.4052113
15 15 0.98943394
16 0 0.08683801
16 1 0.8339953
16 2 0.6016876
16 3 2.4151378
16 4 0.70196617
16 5 0.6417458
16 6 0.07042992
16 7 0.14089203
16 8 0.9726749
16 9 0.7828517
16 10 0.11416918
16 11 -0.0529405
16 12 1.0107466
16 13 0.7586186
16 14 1.0860151
16 15 0.5184971
17 0 1.1269228
17 1 6.7055225e-06
17 2 0.8889098
17 3 2.118566
17 4 0.95631504
17 5 0.95178765
17 6 1.0104339
17 7 1.2381902
17 8 0.7264756
17 9 0.816059
17 10 1.0343369
17 11 -0.078028716
17 12 1.0748959
17 13 0.685697
17 14 0.28420636
17 15 0.5528454
18 0 1.0429054
18 1 0.015093058
18 2 0.69187534
18 3 2.2183554
18 4 0.7975086
18 5 0.74143815
18 6 0.86285555
18 7 1.1241163
18 8 0.73315763
18 9 0.78647447
18 10 1.0146774
18 11 -0.08799222
18 12 1.0480685
18 13 0.5510962
18 14 0.2280511
18 15 0.58745414
19 0 0.88791776
19 1 0.37788323
19 2 0.48326522
19 3 1.4184862
19 4 1.1217186
19 5 0.24344331
19 6 0.11900017
19 7 0.29163986
19 8 1.3434547
19 9 0.8421478
19 10 0.19670618
19 11 -0.06400301
19 12 1.8916245
19 13 -1.335144e-05
19 14 0.22717199
19 15 1.3892848
20 0 0.8668568
20 1 0.21683787
20 2 0.020013422
20 3 1.8228521
20 4 0.15332451
20 5 0.096692234
20 6 0.9320663
20 7 0.19508487
20 8 1.4554019
20 9 0.81588227
20 10 0.15788323
20 11 -0.048243135
20 12 1.8032502
20 13 0.9337831
20 14 1.0926676
20 15 0.34797645
21 0 0.3649487
21 1 0.97814345
21 2 0.92593133
21 3 1.2691579
21 4 0.3533139
21 5 0.9290212
21 6 0.87500095
21 7 1.0006094
21 8 1.6014974
