2708 16
0 0 0.65383285
0 1 1.3469021
0 2 0.19214948
0 3 0.72232586
0 4 0.15086281
0 5 0.3489159
0 6 0.8515935
0 7 1.1881931
0 8 0.16873094
0 9 1.9299068
0 10 0.30002156
0 11 1.0553638
0 12 0.93768346
0 13 -0.10969204
0 14 0.8017602
0 15 1.2460427
1 0 0.50801873
1 1 1.0381708
1 2 0.32013777
1 3 0.92608684
1 4 1.0415764
1 5 1.4028294
1 6 0.0076881945
1 7 1.2667105
1 8 1.1658537
1 9 1.9345212
1 10 0.1429758
1 11 1.0801101
1 12 1.837126
1 13 -0.09637354
1 14 0.02778396
1 15 0.4044982
2 0 0.6505792
2 1 1.1532109
2 2 0.42630512
2 3 1.0865741
2 4 0.6719184
2 5 1.3547847
2 6 0.13922004
2 7 1.3082364
2 8 0.94516355
2 9 2.0234337
2 10 0.12552729
2 11 1.115808
2 12 1.411144
2 13 -0.096714765
2 14 0.22788632
2 15 0.6198259
3 0 1.0022056
3 1 1.497917
3 2 0.08452359
3 3 0.016198695
3 4 0.83602816
3 5 0.21314195
3 6 -0.25682393
3 7 0.9964967
3 8 1.0856415
3 9 0.98563033
3 10 0.078475446
3 11 0.90094715
3 12 2.00867
3 13 -0.083810605
3 14 -0.068894416
3 15 1.2176819
4 0 0.7727634
4 1 1.2059555
4 2 0.37211826
4 3 0.86105025
4 4 0.17027617
4 5 0.3533235
4 6 0.8766676
4 7 1.1607262
4 8 0.26523274
4 9 1.8011097
4 10 0.4621318
4 11 0.9271636
4 12 1.0578433
4 13 -0.0932529
4 14 0.8720685
4 15 1.1836956
5 0 1.4627268
5 1 1.2668132
5 2 0.89761126
5 3 0.8691222
5 4 0.82787335
5 5 0.8767972
5 6 0.80871177
5 7 0.76117283
5 8 1.0124071
5 9 1.2409074
5 10 0.8278912
5 11 0.4760177
5 12 0.9265349
5 13 -0.061986625
5 14 0.82256186
5 15 1.3419192
6 0 0.9047798
6 1 1.3050396
6 2 0.2634353
6 3 0.1920821
6 4 0.9819501
6 5 0.28549993
6 6 0.16682401
6 7 1.1671048
6 8 0.93708146
6 9 1.2079482
6 10 0.15866658
6 11 0.9939463
6 12 1.7560439
6 13 -0.07261971
6 14 0.059574395
6 15 1.3003447
7 0 0.4882688
7 1 1.0714457
7 2 0.2429508
7 3 1.0089068
7 4 0.13039285
7 5 0.2841589
7 6 0.9596075
7 7 1.4440342
7 8 0.19357508
7 9 1.9793231
7 10 -0.06586549
7 11 1.1411996
7 12 0.9472692
7 13 -0.13316728
7 14 0.8674053
7 15 1.2457824
8 0 0.7454542
8 1 1.1077245
8 2 0.27934507
8 3 0.9844169
8 4 0.07554239
8 5 0.44226724
8 6 0.9695542
8 7 1.1727145
8 8 0.2835961
8 9 1.9521493
8 10 0.31644636
8 11 0.94432366
8 12 0.9053132
8 13 -0.09071337
8 14 0.8367083
8 15 1.1765232
9 0 1.5043094
9 1 1.3442478
9 2 0.94082963
9 3 0.78842086
9 4 0.7210449
9 5 1.1414621
9 6 0.7888628
9 7 0.43825275
